0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0
0.312243	0.58034	0	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.17209	0.481276	7.81686	-0.900593	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.56293	0.436246	7.81686	-0.900593	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.65735	0.619508	4.98059	1.28379	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.90638	0.683698	4.98059	1.28379	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
2.18293	0.666218	5.14332	0.800871	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.4401	0.706261	5.14332	0.800871	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.668	0.690352	5.0173	0.559906	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.91887	0.718348	5.0173	0.559906	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.07478	0.680455	4.68887	0.332004	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.30922	0.697055	4.68887	0.332004	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.73099	0.498562	5.2485	-0.31059	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.99342	0.483033	5.2485	-0.31059	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.28193	0.521663	5.31989	-0.162403	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.54793	0.513543	5.31989	-0.162403	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.60326	0.684776	4.76787	0.307572	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.84165	0.700155	4.76787	0.307572	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.27099	0.686254	5.26122	0.231921	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.53405	0.69785	5.26122	0.231921	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.89226	0.709096	5.50729	0.231016	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.16762	0.720647	5.50729	0.231016	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
